year,period,state,region,nss_round,category,sub_category,source_of_water,type_of_filtering,value,unit,note
2012,"July, 2012 to December, 2012",All India,Rural,69,Total Number of Households treating Drinking Water by Type of Treatment,Estimated,,Filtering with Water Filter,6093100,value in absolute number,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Rainwater Collection,Filtering with Water Filter,8,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Tank/ Pond,Filtering with Water Filter,71,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Other Surface Water,Filtering with Water Filter,39,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,Others,Filtering with Water Filter,11,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,N.R. (Not Reported),Filtering with Water Filter,0,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Distribution of Households by Method of Treatment of Drinking Water,,All (including not reported),Filtering with Water Filter,108,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Rural,69,Total Number of Households treating Drinking Water by Type of Treatment,Sample,,Filtering with Water Filter,3137,value in absolute number,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Unprotected Well,Filtering with Water Filter,66,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Bottled Water,Filtering with Water Filter,173,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped water into Dwelling,Filtering with Water Filter,182,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Piped to Yard/Dwelling,Filtering with Water Filter,174,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Public Tap/Stand,Filtering with Water Filter,110,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Tube Well/Borehole,Filtering with Water Filter,215,value in absolute number per thousand,
2012,"July, 2012 to December, 2012",All India,Urban,69,Distribution of Households by Method of Treatment of Drinking Water,,Protected Well,Filtering with Water Filter,249,value in absolute number per thousand,
